median_I,low_I,high_I,Time
0.01046256820738165,0.005826362587719875,0.023570552748580956,0
0.017830085295288334,0.01209708285117621,0.031173309656891045,1
0.026267313975954516,0.019265771769815136,0.04017371121987224,2
0.03563188671121522,0.02740670836362105,0.050535527179099246,3
0.045880700008331686,0.03625382007275855,0.0616849232677631,4
0.056860393460116725,0.04586654851244241,0.07410805864395416,5
0.06855504335783774,0.056087363373202144,0.08734074120258534,6
0.0807642470233619,0.06686090813203516,0.10140199556821602,7
0.0934121936051836,0.07803200795081384,0.11597899963444955,8
0.10660652264179504,0.08958575278771941,0.13102306263563795,9
0.12008475821483716,0.10134124938182765,0.1463898061675548,10
0.13395445612797094,0.11353353374963003,0.16207856011629626,11
0.14804093612333508,0.12589030863448827,0.17833936808765197,12
0.16220443298466858,0.1384361719225322,0.19504560596869094,13
0.17659253858437285,0.1510459935222739,0.21151875715948049,14
0.191142744767165,0.16374891538802652,0.22842941057586183,15
0.20573384862768387,0.17652753873859559,0.24551506693437578,16
0.2203860971747717,0.18931440482546316,0.2621985599840154,17
0.2350926453978224,0.20201179189371918,0.2792462770849267,18
0.2497749710636334,0.21470812639568815,0.2962950898055679,19
0.2644536997388798,0.2275248010824042,0.3128202243646214,20
0.2791935762987463,0.24027402572561318,0.32958133570422626,21
0.2937798004006943,0.25323735168849437,0.34642015214018707,22
0.30826404641462923,0.2658877685307269,0.3627491889808801,23
0.322782964433169,0.27838136094360705,0.3790537797611004,24
0.3371893663001297,0.2908581353810013,0.394967509103353,25
0.3514070387773106,0.30328327877483197,0.4108983645884966,26
0.36545387601001766,0.31538636521108004,0.42678152731090535,27
0.37935276945068147,0.32773704560510203,0.44258706164384515,28
0.39311275122107303,0.33965901225447215,0.45813115680782823,29
0.4068341353045997,0.35169424317998316,0.4732621898302818,30
0.4204015740223047,0.36364794301806413,0.4882692252568832,31
0.4337963073303466,0.3752884698382829,0.5032210895074848,32
0.4470920648733737,0.3868598533769914,0.5178440056107816,33
0.46018150715346284,0.3986197504222106,0.5323000290841857,34
0.47316692057320675,0.41006605398550716,0.5464224928989615,35
0.4858790166939235,0.42129957587426914,0.5605552677708079,36
0.4985411155350775,0.4325627013812196,0.5742447044162184,37
0.5110363576926004,0.44371021005816497,0.5877758390015946,38
0.523324145348761,0.4549003089107274,0.6008467607744858,39
0.5355570974895877,0.46555198161050976,0.6141875708938268,40
0.5475514025790772,0.47640701608155694,0.6271551608792097,41
0.5593574422215625,0.48720291643339747,0.6399614228481482,42
0.5711366858925051,0.4976567301012618,0.6526886413220815,43
0.5827531487021808,0.5082465581790093,0.6647991275911012,44
0.5941951270776037,0.5186676207615686,0.6768969269552849,45
0.6054393239031383,0.5286102676442105,0.6890335927615338,46
0.6165255593396398,0.5386716321964611,0.700716025113887,47
0.6275206941089827,0.5487155136775262,0.7124605789254124,48
0.6383382834313963,0.5585831844114035,0.7238835974747352,49
