Time,incidence_La1582,incidence_f1tyking
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,1,0
22,22.4510297,0.443261841
23,24.00478357,0.462849058
24,24.393222040000005,0.4677458620000001
25,23.616345109999997,0.457952253
26,21.67415278,0.43346823300000015
27,18.56664500000001,0.3942937989999997
28,14.29382179999999,0.34042895400000006
29,9.198157900000012,0.270005496
30,4.649551500000001,0.17555063000000004
31,0.9904773999999748,0.05519615499999997
32,-1.7790644999999756,-0.09105792700000004
33,-3.6590741000000264,-0.26321161700000006
34,-4.649551499999973,-0.4612649150000001
35,-4.750496700000014,-0.6852178219999998
36,-4.097052999999988,-0.8921782250000001
37,-3.229794200000015,-0.9105776799999998
38,-2.2838635999999894,-0.6975240760000001
39,-1.2592611999999974,-0.253017414
40,-0.1559870000000103,0.422942307
41,1.0259590000000003,1.3303550880000001
42,2.2956594000000052,2.425016553
43,3.6894451999999944,3.5301092050000005
44,5.216398999999996,4.601428672
45,6.876520999999997,5.638974939999999
46,8.669811100000004,6.642748040000001
47,10.5962691,7.612747939999998
48,12.655895200000003,8.548974650000002
49,14.797823800000003,9.383730739999997
50,16.818592300000006,9.84622642
51,18.667334799999992,9.868764260000006
52,20.344051599999972,9.451344259999999
53,21.848742600000037,8.593966409999993
54,23.181407799999988,7.29663072000001
55,24.342047100000002,5.559337189999994
56,25.218584700000008,3.5211101000000014
57,25.36271640000001,1.7380462999999935
58,24.662366599999984,0.3491703000000115
59,23.11753490000001,-0.6455182000000121
60,20.72822149999996,-1.2460188999999957
61,17.49442640000001,-1.4523320999999925
62,13.416149500000017,-1.264457500000006
63,8.787974099999985,-0.766282700000005
64,4.788232700000037,-0.29335720999999637
65,1.711508600000002,0.07043171000000825
66,-0.4421982000000071,0.3250837999999874
67,-1.6728879000000347,0.47059950000000583
68,-1.9805604000000017,0.5069783000000001
69,-1.3652154999999766,0.434220499999995
70,0.1731465999999955,0.25232610000000477
